pair_id,issue_id_a,description_a,issue_id_b,description_b,district,block,domain,is_duplicate,pair_type
DUP023,JH-26043-0148,Pig farming near residential drinking wells creating severe parasitic disease risks,JH-26043-0148-DUP,Follow-up complaint: pig farming near residential drinking wells creating severe (this has been going on for weeks),Palamu,Chhatarpur,sanitation,1,paraphrase_same_issue
DUP024,JH-26043-0303,Land mutation and land possession certificate (LPC) stuck in circle office for 8 months,JH-26043-0303-DUP,Barkagaon mein land mutation and land possession certificate (lpc) stuck. Kripya jaldi dekhein.,Hazaribagh,Barkagaon,public_administration,1,paraphrase_same_issue
DUP025,JH-26043-0052,Termite infestation destroying sugarcane root stems in riverbank farming belts,JH-26043-0052-DUP,Ye issue Govindpur block mein kaafi din se hai — termite infestation destroying sugarcane root stems in riverbank,Dhanbad,Govindpur,agriculture,1,paraphrase_same_issue
DUP026,JH-26043-0290,Skill development training certificate issued under PMKVY not recognized by local industries,JH-26043-0290-DUP,Follow-up complaint: skill development training certificate issued under pmkvy not (this has been going on for weeks),West Singhbhum,Majhgaon,rural_livelihoods,1,paraphrase_same_issue
DUP027,JH-26043-0140,Industrial waste sludge being dumped secretly on agricultural land by chemical factory trucks,JH-26043-0140-DUP,Baghmara mein industrial waste sludge being dumped secretly on agricultural. Kripya jaldi dekhein.,Dhanbad,Baghmara,sanitation,1,paraphrase_same_issue
DUP028,JH-26043-A002-ACC,Public notices are posted only in small print and are difficult for people with low vision to read.,JH-26043-A002-ACC-DUP,Follow-up complaint: public notices are posted only in small print (this has been going on for weeks),Dhanbad,Govindpur,accessibility,1,paraphrase_same_issue
DUP029,JH-26043-0066,"Health sub-centre building in dilapidated condition with no roof, vaccination held under tree",JH-26043-0066-DUP,Follow-up complaint: health sub-centre building in dilapidated condition with no (this has been going on for weeks),Dumka,Saraiyahat,healthcare,1,paraphrase_same_issue
DUP030,JH-26043-A001-ACC,"The block office entrance has steps only, so wheelchair users depend on others to enter the building.",JH-26043-A001-ACC-DUP,"the block office entrance has steps only, so. Same problem as reported earlier from this area.",Ranchi,Kanke,accessibility,1,paraphrase_same_issue
DUP031,JH-26043-0311,Public hearing on village development plan conducted without sharing detailed project budget,JH-26043-0311-DUP,Chas mein public hearing on village development plan conducted without. Kripya jaldi dekhein.,Bokaro,Chas,public_administration,1,paraphrase_same_issue
DUP032,JH-26043-0130,Plastics and thermocol waste burnt openly in roadside vacant plots causing toxic fumes,JH-26043-0130-DUP,Ye issue Jarmundi block mein kaafi din se hai — plastics and thermocol waste burnt openly in roadside,Dumka,Jarmundi,sanitation,1,paraphrase_same_issue
DUP033,JH-26043-0147,"Municipality composting yard lying abandoned, waste rotting untreated in open heaps",JH-26043-0147-DUP,"Majhgaon mein municipality composting yard lying abandoned, waste rotting untreated. Kripya jaldi dekhein.",West Singhbhum,Majhgaon,sanitation,1,paraphrase_same_issue
DUP034,JH-26043-A003-RUR,MGNREGA workers report delayed wage payments and have difficulty tracking the status of their work demand.,JH-26043-A003-RUR-DUP,Follow-up complaint: mgnrega workers report delayed wage payments and have (this has been going on for weeks),Hazaribagh,Barkagaon,rural_livelihoods,1,paraphrase_same_issue
DUP035,JH-26043-0081,Cataract surgery camp operated by unregistered clinic caused severe post-op infections,JH-26043-0081-DUP,Ye issue Nirsa block mein kaafi din se hai — cataract surgery camp operated by unregistered clinic caused,Dhanbad,Nirsa,healthcare,1,paraphrase_same_issue
DUP036,JH-26043-0095,Mid-day meal rice delivered to school infested with insects and fungus,JH-26043-0107,"School management committee meetings not conducted for 2 years, funds unutilized",Bokaro,Bermo,education,0,hard_negative_same_block_domain
DUP037,JH-26043-0010,"Solar powered water pump inverter stolen, 40 tribal households left without tap connection",JH-26043-0016,"Natural hill stream tapped by private crusher plant, village stream flow stopped",Bokaro,Bermo,water_management,0,hard_negative_same_block_domain
DUP038,JH-26043-0276,Tasar cocoon grainages running acute shortage of disease-free layings (DFLs) for tribal rearers,JH-26043-0297,"Weavers cooperative society election delayed for 5 years, management funds frozen in bank",Bokaro,Chandankiyari,rural_livelihoods,0,hard_negative_same_block_domain
DUP039,JH-26043-0241,Block development office (BDO) and registry counter on 1st floor have no ramp or elevator for divyangjan,JH-26043-0251,"Public library has zero braille books, large-print volumes, or digital audio books",Bokaro,Chas,accessibility,0,hard_negative_same_block_domain
DUP040,JH-26043-0210,Rooftop green cover loss in district headquarters creating intense urban heat island effects,JH-26043-0206,Asbestos roof dismantling at old railway shed releasing airborne asbestos fibers near slums,Bokaro,Chas,environment,0,hard_negative_same_block_domain
DUP041,JH-26043-0278,Self-help group microfinance loans charged high informal processing cuts by bank middlemen,JH-26043-0285,Common service centre (CSC) operator overcharging rural citizens for DBT e-KYC submissions,Bokaro,Gumia,rural_livelihoods,0,hard_negative_same_block_domain
DUP042,JH-26043-0122,"Community toilet built under Swachh Bharat has no running pani or bijli, locked since inauguration",JH-26043-0123,Open dumping of solid waste near weekly haat creating hygiene hazard in panchayat area,Bokaro,Gumia,sanitation,0,hard_negative_same_block_domain
DUP043,JH-26043-0132,Lack of drainage slope causing graywater stagnation in front of every courtyard,JH-26043-0139,"No community dustbins installed in marketplace, garbage littering entire shopping street",Bokaro,Kasmar,sanitation,0,hard_negative_same_block_domain
DUP044,JH-26043-A001-AGR,Rice farmers need an early warning for stem borer because the infestation is spreading across neighbouring fields.,JH-26043-A009-AGR,An irrigation canal is silted up and cultivable land at its tail end receives very little water.,Bokaro,Petarwar,agriculture,0,hard_negative_same_block_domain
DUP045,JH-26043-A001-ENE,A village solar street-light system has stopped working because several batteries have failed and replacement is delayed.,JH-26043-A009-ENE,Several small enterprises are losing working hours because the feeder trips repeatedly during peak demand.,Bokaro,Petarwar,energy,0,hard_negative_same_block_domain
DUP046,JH-26043-A001-RUR,Women from a Sakhi Mandal can produce leaf plates but lack equipment and a dependable market buyer.,JH-26043-A009-RUR,Self-help groups want access to small working-capital loans and guidance on preparing business plans.,Bokaro,Petarwar,rural_livelihoods,0,hard_negative_same_block_domain
DUP047,JH-26043-0097,No computer instructor for ICT computer lab setup under PM-eVIDYA scheme,JH-26043-0113,Hostel kitchen at tribal residential school operating in unsanitary unhygienic conditions,Dhanbad,Baghmara,education,0,hard_negative_same_block_domain
DUP048,JH-26043-0157,Rooftop solar subsidy portal stuck in verification stage with state discom for 8 months,JH-26043-0164,Single-phase supply insufficient to run community tube well pumps and grain threshers,Dhanbad,Baghmara,energy,0,hard_negative_same_block_domain
DUP049,JH-26043-A010-ACC,The community meeting hall has narrow doors and fixed seating that prevents easy wheelchair movement.,JH-26043-A002-ACC,Public notices are posted only in small print and are difficult for people with low vision to read.,Dhanbad,Govindpur,accessibility,0,hard_negative_same_block_domain
DUP050,JH-26043-0052,Termite infestation destroying sugarcane root stems in riverbank farming belts,JH-26043-A008-AGR,Farmers are unable to sell lac at a fair price because they do not have transparent market-rate information.,Dhanbad,Govindpur,agriculture,0,hard_negative_same_block_domain
DUP051,JH-26043-0182,Fly ash from sponge iron plant falling continuously on green paddy fields and residential houses,JH-26043-A006-ENV,Forest-fire incidents are increasing in the dry season and local volunteers need an early-warning mechanism.,Dhanbad,Govindpur,environment,0,hard_negative_same_block_domain
DUP052,JH-26043-0061,"CHC (Community Health Centre) has no lady doctor, pregnant women forced to travel 40km to district hospital",JH-26043-A006-HEA,Health workers want a simple dashboard to identify villages with low immunization coverage.,Dhanbad,Govindpur,healthcare,0,hard_negative_same_block_domain
DUP053,JH-26043-0292,Forest gatherers selling sal leaves (pattal) for pennies due to lack of leaf-plate pressing machines,JH-26043-A008-RUR,A weekly market connects producers and buyers but there is no transparent price information for local products.,Dhanbad,Govindpur,rural_livelihoods,0,hard_negative_same_block_domain
DUP054,JH-26043-A002-SAN,"Garbage collection reaches the market but not the nearby residential lanes, leaving waste piles for several days.",JH-26043-A010-SAN,Sanitation workers lack protective equipment and a predictable schedule for cleaning public facilities.,Dhanbad,Govindpur,sanitation,0,hard_negative_same_block_domain
DUP055,JH-26043-0221,Underpass gets flooded with 5 feet of water after every moderate rainfall blocking traffic,JH-26043-A004-URB,A culvert on the ward road is damaged and vehicles are using a temporary diversion.,Dhanbad,Govindpur,urban_infrastructure,0,hard_negative_same_block_domain
DUP056,JH-26043-0022,"Village pond embankments breached due to sudden downpour, flooded adjacent farmland",JH-26043-A010-WAT,"Households report different water pressure at the same village pipeline, suggesting leakage or poor network balancing.",Dhanbad,Govindpur,water_management,0,hard_negative_same_block_domain
DUP057,JH-26043-0175,Electric vehicle charging stations sanctioned for town bus stand never installed,JH-26043-0178,Discom junior engineer demanding bribe for issuing formal domestic meter connection,Dhanbad,Jharia,energy,0,hard_negative_same_block_domain
DUP058,JH-26043-0001,"Chapakal (handpump) broken in our tola since 3 weeks, villagers walking 2km for peene ka pani",JH-26043-0006,"Canal branch silted with mud, irrigation water not reaching tail-end agricultural fields",Dhanbad,Jharia,water_management,0,hard_negative_same_block_domain
DUP059,JH-26043-0156,"No street lights installed in women hostel lane, creating safety concerns at night",JH-26043-0158,Unscheduled power cuts extending up to 14 hours daily during summer harvest season,Dhanbad,Nirsa,energy,0,hard_negative_same_block_domain
DUP060,JH-26043-0081,Cataract surgery camp operated by unregistered clinic caused severe post-op infections,JH-26043-0076,Mental health counseling services completely absent in rural community health centres,Dhanbad,Nirsa,healthcare,0,hard_negative_same_block_domain
DUP061,JH-26043-0146,Dry toilet converted into manual scavenging without rehabilitation of sanitary worker,JH-26043-0141,"Stormwater drains completely silted up with plastic bags, causing urban flash floods",Dhanbad,Nirsa,sanitation,0,hard_negative_same_block_domain
DUP062,JH-26043-0043,"No government procurement mandi for millets, tribal farmers forced into distress sale",JH-26043-0046,Groundnut harvest rotting in open fields due to lack of tarpaulin sheets and drying yards,Dhanbad,Topchanchi,agriculture,0,hard_negative_same_block_domain
DUP063,JH-26043-0185,Chemical effluent discharge from textile dye unit killing fish in village lake,JH-26043-0209,Air particulate matter (PM2.5) levels exceeding 400 in industrial township with zero monitoring,Dhanbad,Topchanchi,environment,0,hard_negative_same_block_domain
DUP064,JH-26043-0089,Oxygen pipeline leakage in trauma ward not repaired despite formal complaints,JH-26043-0090,ASHA workers not paid state incentive allowances for institutional delivery facilitation,Dhanbad,Topchanchi,healthcare,0,hard_negative_same_block_domain
DUP065,JH-26043-0317,Kisan samman nidhi installment blocked due to minor name spelling discrepancy between Aadhaar and bank,JH-26043-0324,Tehsildar not holding weekly public court (janata durbar) despite clear district magistrate order,Dhanbad,Topchanchi,public_administration,0,hard_negative_same_block_domain
DUP066,JH-26043-0002,"Panchayat water tank overflow ho raha hai daily, valve kharab hone se thousands of litres waste",JH-26043-0028,"River catchment degraded due to illegal bunding, local intake well running empty",Dhanbad,Topchanchi,water_management,0,hard_negative_same_block_domain
DUP067,JH-26043-0093,High school girls dropping out due to non-functional separate toilets and boundary wall absence,JH-26043-0101,"No tribal language (Ho, Santhali, Mundari) primary instruction teachers in early grades",Dumka,Jama,education,0,hard_negative_same_block_domain
DUP068,JH-26043-0062,"Primary health centre doctor and ANM didi absent on duty days, no snakebite anti-venom in emergency stock",JH-26043-0083,Emergency ward roof leaking directly onto patient beds during rainy season,Dumka,Jarmundi,healthcare,0,hard_negative_same_block_domain
DUP069,JH-26043-0321,"Consumer dispute redressal forum in district has vacancy for president, cases paralyzed",JH-26043-0330,Panchayat digital library and internet computer stolen because chowkidar was never appointed,Dumka,Jarmundi,public_administration,0,hard_negative_same_block_domain
DUP070,JH-26043-0127,Garbage tipper trucks not visiting peripheral municipal wards for weeks at a stretch,JH-26043-0130,Plastics and thermocol waste burnt openly in roadside vacant plots causing toxic fumes,Dumka,Jarmundi,sanitation,0,hard_negative_same_block_domain
